N;Calculated Area;Relative Deviation
100;0.77776888647200015381;-0.17654342548427967574
600;1.1180427743035001864;0.18371882586634791235
1100;0.86615171448018202227;-0.082968814743856880711
1600;0.88714263613212507309;-0.060744844693006616598
2100;0.93054491774328584874;-0.014793026918691810911
2600;0.99464674904592320637;0.053074273178757645775
3100;0.94712178917154854485;0.0027576028376916504777
3600;0.90469644780597235911;-0.042159887282061478397
4100;0.92241492938295133186;-0.023400586931051278738
4600;0.94473557677441322156;0.00023121958838853351654
5100;0.94552296002478442016;0.0010648552936206978192
5600;1.0086690246433751561;0.06792024507507474218
6100;0.93714775665068861255;-0.0078023241490911910204
6600;0.90297789281692431018;-0.043979393602014214826
7100;1.0269835648838028241;0.087310617758433309299
7600;0.89673682469880278134;-0.050587074448158013407
8100;0.97701215059908652627;0.03440378341943870627
8600;0.8896862117056163477;-0.05805185444204678108
9100;0.89849400209196716993;-0.048726676967416539255
9600;0.95195671000479176183;0.0078765365166367541649
10100;0.92311926005773281556;-0.022654882474534957654
10600;0.96303930518349067924;0.019610145331964940613
11100;0.95031446151139653544;0.0061378190873384039575
11600;0.93617224804873289123;-0.0088351360624358329238
12100;0.93525101637748764283;-0.0098104827104356345097
12600;0.98069866538284933277;0.038306851398294101962
13100;0.92916664681578642337;-0.016252260215952461786
13600;0.90715874718103683971;-0.039552947554734402269
14100;0.9253243312459433767;-0.020320281028283166541
14600;0.96954751601304123287;0.02650066138261020568
15100;0.95225180719543722763;0.0081889683019456087354
15600;1.0058645695238848106;0.064951050695811377023
16100;0.9848921225433479032;0.042746640555232674752
16600;0.97396811611666878061;0.031180936309971967607
17100;0.93525571509242699797;-0.0098055079836551154587
17600;0.93741036956177858919;-0.0075242848343910666634
18100;0.97274824129888970425;0.02988940362428834166
18600;0.96280261349558071693;0.019359549904540755
19100;0.97628319650084827153;0.033632009110701202581
19600;0.91963234408105121176;-0.02634662681623374178
20100;0.96350473995785090864;0.020102920668728128245
20600;0.90991408562986431097;-0.036635755056851411482
21100;0.97774027079003811291;0.03517467483552045443
21600;0.99201540843998159414;0.05028836240315245204
22100;0.95945358676212233462;0.015813794693883467118
22600;0.97307147190246912061;0.030231621435043792845
23100;0.94737974212579667554;0.003030708460436335773
23600;0.95696881529367383568;0.013183062817806219177
24100;0.97180770099120761252;0.028893614112225185497
24600;0.92478617598804890854;-0.020890048594113089925
25100;0.91992086920866544819;-0.026041153149982267101
25600;0.95702030952609395964;0.013237581923640261497
26100;0.93347166163737183009;-0.011694360279504252206
26600;0.93054491774328584874;-0.014793026918691810911
27100;0.95212113685271593244;0.0080506221239490093761
27600;0.95635984002331542175;0.012538315131422422821
28100;0.95006822164239879136;0.0058771145997188909901
28600;0.93345863734795120337;-0.011708149641534996294
29100;0.92543806508910664288;-0.020199866233442817509
29600;0.94265063520888525694;-0.0019761955827207935282
30100;0.96413626499955162874;0.020771542744777830164
30600;0.96649221921888250897;0.023265890390858304931
31100;0.94907811066277825152;0.0048288425360637895686
31600;0.96575021148560458162;0.022480295650651099804
32100;0.93556389809657647394;-0.0094792216981853666402
32600;0.94626559692318112926;0.0018511161573544752425
33100;0.94195801318568894711;-0.0027095035982194486286
33600;0.95803302943035428818;0.014309791005040845002
34100;0.93742818868032862234;-0.00750541898545146937
34600;0.9474843515836648411;0.0031414628854800116103
35100;0.96002384633616544285;0.016417552447110635161
35600;0.93725520308002263636;-0.0076885661032471625323
36100;0.90676864291939907048;-0.039965967314947947742
36600;0.9488355404637924817;0.0045720232821560161454
37100;0.94521980239370084753;0.00074388958160469503388
37600;0.9277376212305639136;-0.017765229600264560716
38100;0.95332826767040435012;0.0093286622016833988663
38600;0.95080231425900274544;0.006654329273589412036
39100;0.94809231589441700372;0.0037851402264838158486
39600;0.95109743251026779287;0.0069667833566604431966
40100;0.92784336924200261354;-0.017653269740753912281
40600;0.96861919512907646013;0.025517809087465641305
41100;0.9435888345914867914;-0.00098288450632350466557
41600;0.95468326359318522734;0.010763253274254000122
42100;0.96228116090523296844;0.018807466154099339306
42600;0.94824815824271135867;0.00395013706362018404
43100;0.91469049728653140097;-0.031578767499638768501
43600;0.95013567237878227001;0.0059485275262282644171
44100;0.93826087891860332491;-0.0066238148699247290443
44600;0.93994939418925571584;-0.0048361128610465969196
45100;0.91918141128509101012;-0.026824048299603341777
45600;0.94065688791514923128;-0.004087059549518158065
46100;0.96609524645559452516;0.022845598659575565986
46600;0.94884466085693575099;0.0045816794252939354454
47100;0.96911489436996822722;0.026042626685590881952
47600;0.93687654470773762405;-0.0080894676198505002795
48100;0.95644552255340553604;0.012629030823385739221
48600;0.95460728555668317163;0.010682812137092793578
49100;0.94587626544723635291;0.0014389145777992911734
49600;0.94026142852978433773;-0.0045057490040549723689
50100;0.93262406895819172092;-0.012591742234892334268
50600;0.93359165498207719036;-0.011567318287577879957
51100;0.94880954912814685631;0.0045445051638690805301
51600;0.95242774251840123245;0.0083752384149626234178
52100;0.94459359484675253782;8.0897360502892303401e-05
52600;0.93616906130719601542;-0.0088385099994953697511
53100;0.93412826242470436977;-0.010999189458756020513
53600;0.94899412640426883403;0.0047399248755244111769
54100;0.93734808499028487994;-0.0075902281252316627924
54600;0.94817292135151121091;0.0038704806081068846534
55100;0.94503860162069708295;0.00055204471556214958824
55600;0.92587370815405589664;-0.019738632630229561993
56100;0.95696073776701962021;0.013174510801204717542
56600;0.94386926483295952028;-0.00068598123589155878595
57100;0.93492315140493709169;-0.010157607122193506102
57600;0.94301101751715810106;-0.0015946437024025417011
58100;0.942927640978855508;-0.0016829179440439932889
58600;0.94964784687835512855;0.0054320461877097013514
59100;0.94868721833418456768;0.0044149884162772478138
59600;0.94203341429861586764;-0.0026296732742692114151
60100;0.94907863080932286515;0.0048293932370487785768
60600;0.94686302969425417686;0.0024836433151362710334
61100;0.933227192953821727;-0.011953189538727624491
61600;0.92044402311377937487;-0.025487268146168674809
62100;0.96532265579435438951;0.022027624489519150031
62600;0.93788863925806875699;-0.007017920626910065067
63100;0.93677393616278936683;-0.0081981035943781040143
63600;0.94836442053307556943;0.0040732288316683157303
64100;0.93838847515644785435;-0.0064887233758265886602
64600;0.92751347664994909792;-0.018002540878408603703
65100;0.93129162366347784108;-0.014002458010746631628
65600;0.93679061192635537658;-0.008180448263363528788
66100;0.95882665864428306968;0.015150039574126444863
66600;0.94184775816766974632;-0.0028262352148222791813
67100;0.94410247098575872382;-0.0004390760908283471175
67600;0.94373510226132861778;-0.00082802478325500828218
68100;0.92695546620093549617;-0.018593329968690966436
68600;0.93706411759345198398;-0.0078908763305498893365
69100;0.94646369379470784988;0.0020608496322812156799
69600;0.9574044446621927662;0.013644281920033651118
70100;0.95154642119907151265;0.0074421465321606837529
70600;0.94880092560058071349;0.0045353750731784272035
71100;0.93679582299923935818;-0.0081749310817158284126
71600;0.93826518951143866865;-0.0066192510643109233812
72100;0.94308522745928724529;-0.0015160745209868810909
72600;0.93511710300171779764;-0.0099522624236785643681
73100;0.9429516766563750263;-0.0016574703631229228701
73600;0.95675612172498247787;0.012957875206753054556
74100;0.91723722761905412959;-0.028882437172840662309
74600;0.96009105004008465922;0.016488703829978506449
75100;0.94398980029191492669;-0.00055836528484814768481
75600;0.94584824074099882463;0.0014092436446962153772
76100;0.95304794564407369073;0.0090318735031657444712
76600;0.96662660564144142761;0.023408170938597563232
77100;0.96388867837094183155;0.020509412386213711488
77600;0.95128852367620753139;0.0071690995969496684737
78100;0.93598659689228047576;-0.0090316927362835610488
78600;0.93943299821164771846;-0.0053828429632799762797
79100;0.9332489182967598218;-0.011930188006026654426
79600;0.97440957541985195878;0.031648327808796603011
80100;0.94878579674650831421;0.0045193575201912970438
80600;0.94048759426522710037;-0.0042662978444369661565
81100;0.94811561700170310374;0.0038098100870580416111
81600;0.96470506644665821039;0.021373756717798248622
82100;0.93088325465231314126;-0.014434815428124707706
82600;0.95067180630059699986;0.006516155018685344108
83100;0.93570931919420230471;-0.0093252582766650410351
83600;0.93232254229157074388;-0.012910981176356202405
84100;0.93244409011342943572;-0.012782293394203312481
84600;0.93670126974486900284;-0.0082750385819094999379
85100;0.95427489845778745714;0.010330899960313095695
85600;0.9384790170733261494;-0.006392862847050637988
86100;0.95504779932929395603;0.011149202563002601554
86600;0.95705539220176105708;0.013274725425305281684
87100;0.93403703243365343578;-0.011095778480547144329
87600;0.93847227511518738208;-0.0064000008411913660022
88100;0.94329858705486058223;-0.0012901817593108141479
88600;0.94225471615901035261;-0.0023953717033732414669
89100;0.96009938721480481139;0.016497530746888665332
89600;0.94248054518635493437;-0.0021562770307553742223
90100;0.93671083566362833839;-0.0082649107420965841481
90600;0.95300296368071646391;0.008984249210004376443
91100;0.95396213997985845889;0.0099997694286529884705
91600;0.9516206108225918614;0.0075206942014121409487
92100;0.95204907533807947573;0.0079743275729209795594
92600;0.93850918954821926921;-0.0063609179810984253778
93100;0.97033143032999802369;0.027330624382394343164
93600;0.94863291134465499432;0.0043574913263986171305
94100;0.94731175877547413311;0.002958731633188029387
94600;0.94795721575287106297;0.0036421040344877062683
95100;0.93755500234420507955;-0.0073711560352694750764
95600;0.94048204263769052957;-0.0042721755855934535201
96100;0.94732412238863283882;0.002971821509521970113
96600;0.94765422295812029585;0.0033213128416178516744
97100;0.94507730682404855749;0.00059302353937742578391
97600;0.94989806626498385356;0.0056969639577240617154
98100;0.94941716773722739653;0.0051878164959989507207
98600;0.94657470970223134277;0.0021783868345479719987
99100;0.96024241432743906444;0.016648959555987621894
99600;0.96020488657443081593;0.016609227348285640624
100100;0.94122855629372537134;-0.003481810235783606728
